date,n-transactions-total
2009-01-02,1.0
2009-01-11,170.0
2009-01-15,658.0
2009-01-19,1102.0
2009-01-23,1498.0
2009-01-27,2087.0
2009-01-31,2577.0
2009-02-04,3094.0
2009-02-08,3608.0
2009-02-12,4117.0
2009-02-16,4631.0
2009-02-20,5113.0
2009-02-24,5566.0
2009-02-28,5994.0
2009-03-04,6420.0
2009-03-08,6877.0
2009-03-12,7325.0
2009-03-16,7794.0
2009-03-20,8265.0
2009-03-24,8671.0
2009-03-28,9134.0
2009-04-01,9595.0
2009-04-05,10071.0
2009-04-09,10484.0
2009-04-13,10949.0
2009-04-17,11421.0
2009-04-21,11916.0
2009-04-25,12345.0
2009-04-29,12809.0
2009-05-03,13298.0
2009-05-07,13820.0
2009-05-11,14211.0
2009-05-15,14736.0
2009-05-19,15186.0
2009-05-23,15481.0
2009-05-27,15934.0
2009-05-31,16342.0
2009-06-04,16661.0
2009-06-08,16817.0
2009-06-12,17165.0
2009-06-16,17470.0
2009-06-20,17794.0
2009-06-24,18125.0
2009-06-28,18415.0
2009-07-02,18744.0
2009-07-06,19078.0
2009-07-10,19388.0
2009-07-14,19695.0
2009-07-18,19863.0
2009-07-22,20146.0
2009-07-26,20347.0
2009-07-30,20498.0
2009-08-03,20578.0
2009-08-07,20917.0
2009-08-11,21243.0
2009-08-15,21480.0
2009-08-19,21544.0
2009-08-23,21602.0
2009-08-27,21747.0
2009-08-31,22085.0
2009-09-04,22355.0
2009-09-08,22647.0
2009-09-12,22904.0
2009-09-16,23170.0
2009-09-20,23485.0
2009-09-24,23714.0
2009-09-28,24080.0
2009-10-02,24410.0
2009-10-06,24622.0
2009-10-10,24907.0
2009-10-14,25166.0
2009-10-18,25430.0
2009-10-22,25810.0
2009-10-26,26109.0
2009-10-30,26348.0
2009-11-03,26514.0
2009-11-07,26766.0
2009-11-11,27054.0
2009-11-15,27378.0
2009-11-19,27718.0
2009-11-23,28079.0
2009-11-27,28420.0
2009-12-01,28700.0
2009-12-05,28983.0
2009-12-09,29416.0
2009-12-13,29858.0
2009-12-17,30386.0
2009-12-21,31161.0
2009-12-25,31781.0
2009-12-29,32431.0
2010-01-02,32970.0
2010-01-06,33700.0
2010-01-10,34348.0
2010-01-14,34979.0
2010-01-18,35504.0
2010-01-22,36106.0
2010-01-26,36839.0
2010-01-30,37599.0
2010-02-03,38377.0
2010-02-07,39266.0
2010-02-11,40031.0
2010-02-15,40858.0
2010-02-19,41719.0
2010-02-23,42672.0
2010-02-27,43358.0
2010-03-03,44067.0
2010-03-07,44794.0
2010-03-11,45377.0
2010-03-15,45921.0
2010-03-19,46500.0
2010-03-23,47300.0
2010-03-27,48081.0
2010-03-31,48917.0
2010-04-04,49604.0
2010-04-08,50361.0
2010-04-12,51392.0
2010-04-16,52348.0
2010-04-20,56469.0
2010-04-24,57321.0
2010-04-28,58196.0
2010-05-02,58937.0
2010-05-06,59641.0
2010-05-10,60320.0
2010-05-14,60929.0
2010-05-18,61576.0
2010-05-22,62481.0
2010-05-26,63581.0
2010-05-30,64565.0
2010-06-03,65370.0
2010-06-07,66142.0
2010-06-11,67050.0
2010-06-15,68029.0
2010-06-19,68831.0
2010-06-23,69785.0
2010-06-27,70670.0
2010-07-01,71722.0
2010-07-05,72722.0
2010-07-09,73640.0
2010-07-13,78013.0
2010-07-17,87077.0
2010-07-21,89069.0
2010-07-25,92593.0
2010-07-29,97304.0
2010-08-02,98688.0
2010-08-06,100653.0
2010-08-10,102078.0
2010-08-14,103830.0
2010-08-18,105292.0
2010-08-22,106748.0
2010-08-26,108229.0
2010-08-30,109452.0
2010-09-03,110912.0
2010-09-07,112057.0
2010-09-11,113387.0
2010-09-15,115054.0
2010-09-19,116607.0
2010-09-23,119213.0
2010-09-27,121246.0
2010-10-01,123661.0
2010-10-05,125319.0
2010-10-09,126831.0
2010-10-13,128249.0
2010-10-17,129843.0
2010-10-21,132614.0
2010-10-25,134691.0
2010-10-29,136731.0
2010-11-02,138100.0
2010-11-06,139625.0
2010-11-10,141400.0
2010-11-14,142837.0
2010-11-18,158960.0
2010-11-22,188510.0
2010-11-26,199066.0
2010-11-30,200881.0
2010-12-04,202649.0
2010-12-08,204643.0
2010-12-12,206698.0
2010-12-16,209166.0
2010-12-20,211611.0
2010-12-24,213954.0
2010-12-28,216356.0
2011-01-01,218674.0
2011-01-05,222672.0
2011-01-09,227034.0
2011-01-13,232147.0
2011-01-17,236125.0
2011-01-21,239950.0
2011-01-25,244687.0
2011-01-29,248951.0
2011-02-02,254850.0
2011-02-06,258311.0
2011-02-10,263330.0
2011-02-14,271433.0
2011-02-18,280031.0
2011-02-22,287722.0
2011-02-26,296097.0
2011-03-02,304836.0
2011-03-06,314109.0
2011-03-10,321981.0
2011-03-14,332159.0
2011-03-18,343950.0
2011-03-22,359373.0
2011-03-26,371351.0
2011-03-30,381218.0
2011-04-03,388481.0
2011-04-07,396445.0
2011-04-11,403648.0
2011-04-15,412973.0
2011-04-19,424016.0
2011-04-23,433319.0
2011-04-27,446280.0
2011-05-01,461200.0
2011-05-05,473516.0
2011-05-09,487088.0
2011-05-13,500768.0
2011-05-17,517756.0
2011-05-21,537766.0
2011-05-25,561028.0
2011-05-29,582544.0
2011-06-02,607637.0
2011-06-06,643119.0
2011-06-10,687407.0
2011-06-14,736136.0
2011-06-18,784401.0
2011-06-22,828253.0
2011-06-26,869460.0
2011-06-30,911420.0
2011-07-04,948045.0
2011-07-08,985227.0
2011-07-12,1020117.0
2011-07-16,1054846.0
2011-07-20,1090253.0
2011-07-24,1123196.0
2011-07-28,1157013.0
2011-08-01,1186975.0
2011-08-05,1219102.0
2011-08-09,1249139.0
2011-08-13,1279613.0
2011-08-17,1312794.0
2011-08-21,1342755.0
2011-08-25,1372434.0
2011-08-29,1399898.0
2011-09-02,1429269.0
2011-09-06,1457332.0
2011-09-10,1484207.0
2011-09-14,1509972.0
2011-09-18,1534053.0
2011-09-22,1562716.0
2011-09-26,1586106.0
2011-09-30,1609722.0
2011-10-04,1632389.0
2011-10-08,1655193.0
2011-10-12,1678394.0
2011-10-16,1700021.0
2011-10-20,1720480.0
2011-10-24,1742318.0
2011-10-28,1762640.0
2011-11-01,1784170.0
2011-11-05,1808836.0
2011-11-09,1831920.0
2011-11-13,1853942.0
2011-11-17,1877026.0
2011-11-21,1896772.0
2011-11-25,1918362.0
2011-11-29,1940579.0
2011-12-03,1965689.0
2011-12-07,1991540.0
2011-12-11,2013872.0
2011-12-15,2034597.0
2011-12-19,2055204.0
2011-12-23,2078604.0
2011-12-27,2099428.0
2011-12-31,2119853.0
2012-01-04,2141802.0
2012-01-08,2167762.0
2012-01-12,2194335.0
2012-01-16,2221206.0
2012-01-20,2248347.0
2012-01-24,2273434.0
2012-01-28,2300283.0
2012-02-01,2326193.0
2012-02-05,2354516.0
2012-02-09,2382119.0
2012-02-13,2413283.0
2012-02-17,2448347.0
2012-02-21,2473595.0
2012-02-25,2502113.0
2012-02-29,2528080.0
2012-03-04,2554315.0
2012-03-08,2580934.0
2012-03-12,2604183.0
2012-03-16,2631707.0
2012-03-20,2658017.0
2012-03-24,2684183.0
2012-03-28,2710879.0
2012-04-01,2736972.0
2012-04-05,2765433.0
2012-04-09,2790733.0
2012-04-13,2822550.0
2012-04-17,2854228.0
2012-04-21,2886185.0
2012-04-25,2914845.0
2012-04-29,2947200.0
2012-05-03,2990876.0
2012-05-07,3047591.0
2012-05-11,3113179.0
2012-05-15,3196801.0
2012-05-19,3291777.0
2012-05-23,3405627.0
2012-05-27,3510999.0
2012-05-31,3617278.0
2012-06-04,3737191.0
2012-06-08,3854429.0
2012-06-12,3978747.0
2012-06-16,4195806.0
2012-06-20,4347208.0
2012-06-24,4441819.0
2012-06-28,4558155.0
2012-07-02,4648366.0
2012-07-06,4739594.0
2012-07-10,4846409.0
2012-07-14,4949089.0
2012-07-18,5074605.0
2012-07-22,5212119.0
2012-07-26,5331059.0
2012-07-30,5462346.0
2012-08-03,5595343.0
2012-08-07,5722485.0
2012-08-11,5854269.0
2012-08-15,6025712.0
2012-08-19,6186236.0
2012-08-23,6334409.0
2012-08-27,6463194.0
2012-08-31,6601644.0
2012-09-04,6753878.0
2012-09-08,6902241.0
2012-09-12,7033762.0
2012-09-16,7154739.0
2012-09-20,7275508.0
2012-09-24,7384773.0
2012-09-28,7503439.0
2012-10-02,7605392.0
2012-10-06,7733871.0
2012-10-10,7873791.0
2012-10-14,7989945.0
2012-10-18,8115294.0
2012-10-22,8255298.0
2012-10-26,8368550.0
2012-10-30,8455169.0
2012-11-03,8559129.0
2012-11-07,8683889.0
2012-11-11,8792250.0
2012-11-15,8910629.0
2012-11-19,9053886.0
2012-11-23,9192843.0
2012-11-27,9323592.0
2012-12-01,9461273.0
2012-12-05,9569862.0
2012-12-09,9704068.0
2012-12-13,9856024.0
2012-12-17,10004591.0
2012-12-21,10179008.0
2012-12-25,10333282.0
2012-12-29,10497706.0
2013-01-02,10644670.0
2013-01-06,10808310.0
2013-01-10,10983128.0
2013-01-14,11175862.0
2013-01-18,11371267.0
2013-01-22,11552685.0
2013-01-26,11746652.0
2013-01-30,11946799.0
2013-02-03,12173379.0
2013-02-07,12386345.0
2013-02-11,12618644.0
2013-02-15,12842453.0
2013-02-19,13048414.0
2013-02-23,13284592.0
2013-02-27,13533350.0
2013-03-03,13771565.0
2013-03-07,14021718.0
2013-03-11,14266151.0
2013-03-15,14492424.0
2013-03-19,14650795.0
2013-03-23,14866678.0
2013-03-27,15068956.0
2013-03-31,15296088.0
2013-04-04,15542903.0
2013-04-08,15781078.0
2013-04-12,16038435.0
2013-04-16,16270075.0
2013-04-20,16480736.0
2013-04-24,16699419.0
2013-04-28,16903517.0
2013-05-02,17113687.0
2013-05-06,17318921.0
2013-05-10,17560459.0
2013-05-14,17827063.0
2013-05-18,18064021.0
2013-05-22,18266162.0
2013-05-26,18472670.0
2013-05-30,18695655.0
2013-06-03,18909748.0
2013-06-07,19130607.0
2013-06-11,19317957.0
2013-06-15,19493039.0
2013-06-19,19675526.0
2013-06-23,19857923.0
2013-06-27,20038441.0
2013-07-01,20194487.0
2013-07-05,20341761.0
2013-07-09,20486099.0
2013-07-13,20655424.0
2013-07-17,20806559.0
2013-07-21,20953905.0
2013-07-25,21117080.0
2013-07-29,21270723.0
2013-08-02,21465143.0
2013-08-06,21659021.0
2013-08-10,21876015.0
2013-08-14,22069560.0
2013-08-18,22311807.0
2013-08-22,22573372.0
2013-08-26,22781271.0
2013-08-30,23029661.0
2013-09-03,23227259.0
2013-09-07,23453708.0
2013-09-11,23660010.0
2013-09-15,23854571.0
2013-09-19,24094919.0
2013-09-23,24322439.0
2013-09-27,24544378.0
2013-10-01,24732277.0
2013-10-05,24950851.0
2013-10-09,25134237.0
2013-10-13,25343881.0
2013-10-17,25555065.0
2013-10-21,25779633.0
2013-10-25,26020892.0
2013-10-29,26214060.0
2013-11-02,26404958.0
2013-11-06,26593539.0
2013-11-10,26825540.0
2013-11-14,27075645.0
2013-11-18,27314947.0
2013-11-22,27633596.0
2013-11-26,27922306.0
2013-11-30,28279868.0
2013-12-04,28586564.0
2013-12-08,28857043.0
2013-12-12,29114019.0
2013-12-16,29349973.0
2013-12-20,29633852.0
2013-12-24,29853500.0
2013-12-28,30060953.0
2014-01-01,30259586.0
2014-01-05,30486098.0
2014-01-09,30736978.0
2014-01-13,30951053.0
2014-01-17,31185351.0
2014-01-21,31421422.0
2014-01-25,31669679.0
2014-01-29,31913041.0
2014-02-02,32141133.0
2014-02-06,32406147.0
2014-02-10,32665337.0
2014-02-14,32937665.0
2014-02-18,33182973.0
2014-02-22,33451837.0
2014-02-26,33737541.0
2014-03-02,34000971.0
2014-03-06,34309391.0
2014-03-10,34579039.0
2014-03-14,34874620.0
2014-03-18,35116674.0
2014-03-22,35399977.0
2014-03-26,35669182.0
2014-03-30,35916891.0
2014-04-03,36180662.0
2014-04-07,36418645.0
2014-04-11,36684903.0
2014-04-15,36926901.0
2014-04-19,37171002.0
2014-04-23,37431721.0
2014-04-27,37680606.0
2014-05-01,37933416.0
2014-05-05,38167287.0
2014-05-09,38449155.0
2014-05-13,38702439.0
2014-05-17,38965893.0
2014-05-21,39220681.0
2014-05-25,39476803.0
2014-05-29,39749554.0
2014-06-02,39987099.0
2014-06-06,40250781.0
2014-06-10,40473834.0
2014-06-14,40719484.0
2014-06-18,40975842.0
2014-06-22,41197232.0
2014-06-26,41447698.0
2014-06-30,41685191.0
2014-07-04,41943394.0
2014-07-08,42180575.0
2014-07-12,42425727.0
2014-07-16,42678822.0
2014-07-20,42920507.0
2014-07-24,43184303.0
2014-07-28,43419821.0
2014-08-01,43684681.0
2014-08-05,43934462.0
2014-08-09,44213658.0
2014-08-13,44499113.0
2014-08-17,44780553.0
2014-08-21,45074219.0
2014-08-25,45325324.0
2014-08-29,45609878.0
2014-09-02,45871302.0
2014-09-06,46145242.0
2014-09-10,46437022.0
2014-09-14,46698904.0
2014-09-18,47022606.0
2014-09-22,47288697.0
2014-09-26,47592450.0
2014-09-30,47873824.0
2014-10-04,48167284.0
2014-10-08,48470108.0
2014-10-12,48762755.0
2014-10-16,49073750.0
2014-10-20,49356377.0
2014-10-24,49677179.0
2014-10-28,49992303.0
2014-11-01,50333527.0
2014-11-05,50679369.0
2014-11-09,51001965.0
2014-11-13,51365099.0
2014-11-17,51688536.0
2014-11-21,52032605.0
2014-11-25,52356355.0
2014-11-29,52691679.0
2014-12-03,53072918.0
2014-12-07,53417501.0
2014-12-11,53772332.0
2014-12-15,54104356.0
2014-12-19,54494163.0
2014-12-23,54856046.0
2014-12-27,55159152.0
2014-12-31,55480094.0
2015-01-04,55786649.0
2015-01-08,56167700.0
2015-01-12,56563545.0
2015-01-16,56996731.0
2015-01-20,57368543.0
2015-01-24,57734051.0
2015-01-28,58113605.0
2015-02-01,58450316.0
2015-02-05,58806421.0
2015-02-09,59164725.0
2015-02-13,59566801.0
2015-02-17,59958714.0
2015-02-21,60344470.0
2015-02-25,60740803.0
2015-03-01,61121472.0
2015-03-05,61536823.0
2015-03-09,61915745.0
2015-03-13,62314941.0
2015-03-17,62694869.0
2015-03-21,63098047.0
2015-03-25,63483022.0
2015-03-29,63862964.0
2015-04-02,64314927.0
2015-04-06,64711064.0
2015-04-10,65160266.0
2015-04-14,65572106.0
2015-04-18,65979454.0
2015-04-22,66411165.0
2015-04-26,66822901.0
2015-04-30,67279070.0
2015-05-04,67662569.0
2015-05-08,68108888.0
2015-05-12,68514934.0
2015-05-16,68921457.0
2015-05-20,69321823.0
2015-05-24,69702357.0
2015-05-28,70136658.0
2015-06-01,70616730.0
2015-06-05,71100871.0
2015-06-09,71506717.0
2015-06-13,71990448.0
2015-06-17,72477817.0
2015-06-21,72926758.0
2015-06-25,73395661.0
2015-06-29,73842827.0
2015-07-03,74414788.0
2015-07-07,75000638.0
2015-07-11,75771695.0
2015-07-15,76377423.0
2015-07-19,76860425.0
2015-07-23,77359954.0
2015-07-27,77778068.0
2015-07-31,78311452.0
2015-08-04,78814943.0
2015-08-08,79296537.0
2015-08-12,79736890.0
2015-08-16,80149184.0
2015-08-20,80623590.0
2015-08-24,81061017.0
2015-08-28,81546557.0
2015-09-01,82011379.0
2015-09-05,82517993.0
2015-09-09,83001503.0
2015-09-13,83589772.0
2015-09-17,84346930.0
2015-09-21,84864066.0
2015-09-25,85385168.0
2015-09-29,85888413.0
2015-10-03,86421773.0
2015-10-07,86930983.0
2015-10-11,87417899.0
2015-10-15,87982906.0
2015-10-19,88525516.0
2015-10-23,89112016.0
2015-10-27,89654027.0
2015-10-31,90297023.0
2015-11-04,91013174.0
2015-11-08,91646798.0
2015-11-12,92286431.0
2015-11-16,92893073.0
2015-11-20,93524134.0
2015-11-24,94102540.0
2015-11-28,94746176.0
2015-12-02,95419748.0
2015-12-06,96123127.0
2015-12-10,96942987.0
2015-12-14,97778984.0
2015-12-18,98655287.0
2015-12-22,99515476.0
2015-12-26,100305034.0
2015-12-30,101000764.0
2016-01-03,101571729.0
2016-01-07,102297161.0
2016-01-11,103010985.0
2016-01-15,103760801.0
2016-01-19,104557079.0
2016-01-23,105393213.0
2016-01-27,106277164.0
2016-01-31,107097081.0
2016-02-04,107953916.0
2016-02-08,108840634.0
2016-02-12,109728733.0
2016-02-16,110538096.0
2016-02-20,111409151.0
2016-02-24,112324526.0
2016-02-28,113159415.0
2016-03-03,114194756.0
2016-03-07,114982938.0
2016-03-11,115752295.0
2016-03-15,116462714.0
2016-03-19,117267257.0
2016-03-23,118036568.0
2016-03-27,118717643.0
2016-03-31,119519077.0
2016-04-04,120301309.0
2016-04-08,121170114.0
2016-04-12,122022428.0
2016-04-16,122869495.0
2016-04-20,123725048.0
2016-04-24,124517359.0
2016-04-28,125473816.0
2016-05-02,126363745.0
2016-05-06,127297075.0
2016-05-10,128159242.0
2016-05-14,129066021.0
2016-05-18,129981129.0
2016-05-22,130783891.0
2016-05-26,131722199.0
2016-05-30,132520907.0
2016-06-03,133435118.0
2016-06-07,134274248.0
2016-06-11,135182216.0
2016-06-15,136151343.0
2016-06-19,137124968.0
2016-06-23,138099653.0
2016-06-27,138943108.0
2016-07-01,139818164.0
2016-07-05,140623108.0
2016-07-09,141448513.0
2016-07-13,142264794.0
2016-07-17,143052608.0
2016-07-21,143942775.0
2016-07-25,144783205.0
2016-07-29,145723125.0
2016-08-02,146590177.0
