Chain,Project,Symbol,Pool_ID,APY,TVL
Aurora,aurigami,WBTC,de293a32-2aac-41a7-b104-027e9ee2a4d4,1.30945,"$220,912"
Arbitrum,camelot-v2,WBTC-WETH,ccaa1bdc-8576-4d3a-b163-256d161f4eea,1.30882,"$264,138"
Ethereum,beefy,SBTC-WBTC,b8e37a6b-c56f-4276-9dd3-58d71bf9a760,1.29308,"$664,150"
Ethereum,loopring,LRC-WBTC,fe2a11fa-004c-4b55-a5bc-30435598ead4,1.29,"$65,578"
Ethereum,uniswap-v3,WBTC-DAI,6c3c8aca-ad80-45f5-89b6-ff54fd8c564c,1.24222,"$482,840"
Ethereum,uwu-lend,WBTC,8b2684ff-b5a1-43de-8bc4-1a08adfdf781,1.24163,"$5,896,874"
Polygon,quickswap-dex,WBTC-TEL,cbbd2a67-47a4-4928-bc04-2783808c45a3,1.16462,"$276,826"
Ethereum,beefy,WBTC-ETH,d54e0cf8-19fc-422c-b9de-fd7eec37195d,1.15833,"$1,186,977"
Polygon,unipilot,WBTC-WETHBALANCED,3fc35ee1-3263-40b3-908e-c77fbab9093b,1.13894,"$28,540"
Polygon,balancer-v2,WMATIC-WBTC-LINK-WETH-DAI-BAL-1INCH-AAVE,61a2e96d-28a2-4039-bbfb-f4a2c847912a,1.09379,"$28,945"
Algorand,folks-finance-lending,WBTC,43eb5f56-53f6-4679-bd03-8b39a8f90497,1.09,"$39,904"
Ethereum,harvest-finance,WBTC-ETH,62cb0d38-48ea-42da-984d-e69ce1260f42,1.04,"$97,341"
Polygon,sushiswap,WBTC-ZEEM,2b7e4641-a3b9-465b-9273-eb455a3823df,1.02824,"$111,637"
Astar,starlay-finance,WBTC,7b948868-c756-497b-874c-fd3a1a1d96c7,0.95036,"$176,193"
Ethereum,curve-dex,USDT-WBTC-WETH,9abc391b-1ddf-4afb-bced-43dcc26c3fa6,0.94662,"$356,551"
Ethereum,convex-finance,USDT-WBTC-WETH,4a7a3e0b-778e-477b-88e5-f26176d8cecb,0.94662,"$15,335"
Cronos,acryptos,WBTC,90da7938-9a35-47b8-965d-15069197c47f,0.94,"$11,251"
Ethereum,badger-dao,WBTC-DIGG,df99ee89-5e6a-419d-8545-9dc84d1e39fb,0.92056,"$150,243"
NEAR,pembrock-finance,WBTC,efb4f567-ada6-46a7-8b4a-a1da3da51c99,0.92,"$28,361"
Arbitrum,balancer-v2,CRV-WBTC-WSTETH-GDAI-LINK-UNI,61840f76-78ce-4901-86c0-78c528ddcffe,0.91153,"$30,220"
Polygon,sushiswap,TUT-WBTC,99b22a2a-8536-402e-8536-ad80368f510d,0.90293,"$731,663"
Arbitrum,uniswap-v3,WBTC-DAI,aca2c6cf-a198-4abc-8080-484274504b83,0.89641,"$19,943"
Arbitrum,radiant-v2,WBTC,3abdc920-1bba-495d-9f3d-fb11d8cadd4e,0.8467,"$20,949,306"
Ethereum,badger-dao,WBTC-BADGER,138eb985-80b7-4f54-926f-905376a44b23,0.81667,"$698,503"
Osmosis,osmosis-dex,NGM-WBTC,830988fe-3a80-4075-a4db-9d05f0a35586,0.74807,"$21,722"
Polygon,uniswap-v3,WBTC-WETH,726e7de0-289d-4589-9dbf-c04d26115255,0.7345,"$995,344"
Ethereum,curve-dex,WBTC-SBTC,79ca318f-3ed4-4c37-9062-488b1d6e4fff,0.73057,"$21,821,496"
Fantom,reaper-farm,FTM-WBTC-WSTA-WETH-BEETS,87d5266a-ca4e-4af7-a28e-7a49af7538e2,0.73049,"$19,421"
Ethereum,curve-dex,HBTC-WBTC,0621b0d7-07aa-4811-9e26-46799c23f02f,0.71469,"$10,945,817"
Ethereum,gamma,WBTC-WETH,58b851df-f57f-4d19-9299-4f5948f11269,0.70961,"$44,655"
Ethereum,uniswap-v2,WBTC-SYLO,ed6f0486-6024-474c-b204-e647946e9ee6,0.68522,"$186,666"
Ethereum,unipilot,WBTC-WETH,cd3765fa-226c-48e4-a1a8-882297f95a89,0.68037,"$10,374"
Ethereum,badger-dao,WBTC-IBBTC,cf592a51-c784-4704-a360-562e0b45e8fb,0.67134,"$165,030"
Arbitrum,balancer-v2,WBTC-WSTETH-ARB,b53d27b9-ea70-49ad-bb48-ee7ef7d61022,0.66282,"$22,238"
Ethereum,balancer-v2,WBTC-DIGG-GRAVIAURA,5e9e7f86-c301-47ff-9e96-f87b17545e25,0.58399,"$1,526,265"
Ethereum,badger-dao,WBTC-WETH,9c8151be-2055-470a-9cf1-b7bcd59b9a33,0.53498,"$9,654,826"
Arbitrum,balancer-v2,WBTC-WETH-USDC,872bc9c7-5c79-479b-a654-e72b74e4c810,0.53166,"$1,375,144"
Polygon,apeswap-amm,WMATIC-WBTC,1e481622-17e9-41e4-b932-e26f551d5cb1,0.52975,"$208,512"
Avalanche,vector-finance,WBTCE,36fb3a87-ba3c-4232-8d10-c901330cc587,0.50358,"$163,839"
Arbitrum,gamma,WBTC-WETH,1151c47a-5cf3-424b-bfc4-f68ce77b2b52,0.50342,"$11,805"
Polygon,balancer-v2,WBTC-USDC-TEL,2ee287cd-7cd3-4214-857c-248dafd9eb8c,0.49103,"$187,345"
Arbitrum,radiant-v1,WBTC,696153c5-0071-4e36-946d-65cfbfdb267e,0.45846,"$13,137"
Ethereum,wing-finance,WBTC,ddab20e5-0c87-4f7e-8001-295b5396589c,0.45331,"$46,026"
Solana,orca,WBTC-USDC,409066bb-22eb-4c9e-994f-dfcea35e4481,0.45132,"$152,858"
Polygon,balancer-v2,WBTC-USDC-WETH,376a7ef5-cd10-4164-8247-3417c9983f35,0.4019,"$1,336,050"
Ethereum,instadapp,WBTC,a9f396ae-5e78-4333-bbf5-eaaeb36aba35,0.39736,"$29,260"
Arbitrum,arbitrum-exchange-v2,WBTC-WETH,02d18d1e-a5f1-4b82-a3b4-5db11cc36cdd,0.39227,"$49,806"
Ethereum,uniswap-v3,WBTC-BADGER,996c6ebd-5814-4d7f-970e-b8de7860c4ca,0.37638,"$6,006,157"
Aurora,killswitch,WETH-WBTC,f131dfa0-76ce-4232-ba87-90b7d38d875a,0.36535,"$39,595"
Ethereum,uniswap-v2,WBTC-WETH,a1c73c84-39d2-4cf3-b2cc-652853967e5c,0.35801,"$9,629,653"
Ethereum,uniswap-v3,WBTC-AUSD,755dd8f6-009b-4a98-95e0-e36dda6e54c5,0.35751,"$53,175"
Ethereum,yearn-finance,WBTC,d2d71614-b93a-4538-bf60-77ce16f11b1f,0.30896,"$2,778,249"
Ethereum,uniswap-v2,WBTC-BADGER,702aafc0-e1ea-4415-aaca-910bea8ed504,0.30839,"$686,092"
Ethereum,uniswap-v2,WBTC-LOVE,7b540c0f-df49-4da1-a897-fa3204a173f6,0.28437,"$124,795"
Ethereum,sushiswap,WBTC-BADGER,6cb8e902-4df9-4a3c-a114-909f5bcec85d,0.2824,"$765,948"
Gnosis,agave,WBTC,dd25df3d-30ac-41f0-be30-4db35a4d449b,0.28056,"$546,164"
Arbitrum,uniswap-v3,WBTC-WETH,14d11019-8d05-43b9-8ab9-f9baeb9e70fa,0.27776,"$2,645,965"
Polygon,sushiswap,WBTC-WETH,aef02596-2dd1-4ed5-a680-353d632004bb,0.27122,"$462,455"
Ethereum,uniswap-v3,WBTC-RNG,5a688b0d-0104-4ce5-bcc8-1aaba91a7fb1,0.25158,"$378,346"
Arbitrum,stella,WBTC,774462dc-2032-4bf7-a509-445f77cd52ce,0.24184,"$42,007"
Ethereum,premia,WBTC,06e8a9c0-42e5-4928-a17f-15c820331d1b,0.21549,"$17,160"
Ethereum,sushiswap,WBTC-WETH,721c17e7-d8e9-4288-8436-16c27ad264df,0.20385,"$21,319,322"
Avalanche,platypus-finance,WBTC.E,3f972d5a-f680-4e82-952d-a944f992fa18,0.1903,"$237,327"
Optimism,beethoven-x,WBTC-WSTEH-USDC,45db5df2-21e1-4948-9fc6-35f48f05d74e,0.1803,"$70,092"
Ethereum,fraxlend,WBTC,5fcdc831-75b7-4536-9d71-d05dba7643d4,0.15875,"$8,159,445"
Ethereum,uniswap-v3,WBTC-SAITABIT,dfc64d52-9b33-470a-94f4-0cfb8200348a,0.15083,"$2,306,137"
Moonriver,moonwell-apollo,WBTC,f4c81e2d-360a-4d42-a898-ed707a77318a,0.14591,"$25,681"
Ethereum,exactly,WBTC,5c890e6b-2c03-4377-a4bf-a37173d7dadf,0.14225,"$151,606"
Polygon,balancer-v2,WBTC-WETH,dfc2ebc4-8499-4693-9b28-00a0ef88bf3e,0.1338,"$57,359"
Ethereum,morpho-aave,WBTC,ff61171d-d7b0-4989-816c-b9bf02a15f00,0.12396,"$104,241,389"
Ethereum,notional,NWBTC,d1f41d02-95f3-48f4-a8b8-96d7d57b4372,0.12252,"$1,605,147"
Arbitrum,joe-v2.1,SVBTC-WBTC,21094cb9-ae0a-4104-9d0a-5f97e9de49b5,0.0931,"$219,848"
Optimism,aave-v3,WBTC,e053590b-54f1-40aa-ae0d-14e701ca734c,0.08974,"$16,647,785"
Optimism,beefy,WBTC,e5f45aa7-437e-4c35-8beb-9012bab859c5,0.08125,"$400,205"
Ethereum,aave-v2,WBTC,40e0d8b7-5eba-4d6c-a3c2-9ac375bcd4bf,0.07597,"$717,783,881"
Ethereum,aave-v3,WBTC,7e382157-b1bc-406d-b17b-facba43b716e,0.07251,"$192,103,672"
Arbitrum,dforce,WBTC,3b5838bd-9135-41f5-bd0b-78ba3dec942a,0.07221,"$661,204"
Ethereum,iron-bank,WBTC,60872ac9-439e-4f43-a938-e0678f3bf28b,0.0721,"$251,206"
Avalanche,iron-bank,WBTC.E,5cc042cb-24c5-4c9b-b7a6-69fafc298795,0.0695,"$79,207"
Ethereum,balancer-v2,WBTC-BADGER,cc5991d6-51c5-49b0-a54d-47c7baf8cac4,0.06498,"$5,546,749"
Ethereum,verse,WBTC-WETH,8436e41f-246e-466c-b37f-16c3791adce2,0.06129,"$2,229,001"
Polygon,vesper,WBTC,11a1b5e8-5243-43c5-867a-8cd9a0ef5e6e,0.06,"$11,393"
Tezos,plenty,WBTC.E-CTEZ,38f541e9-bdad-4543-80cb-6cf0b16aa86b,0.05927,"$31,583"
Gnosis,curve-dex,X3CRV-WBTC-WETH,201e92bc-bccb-4a81-9ed2-9829f4f899c9,0.05651,"$523,051"
Cronos,acryptos,WBTC,77ed9bb1-0b65-42b6-8b41-2b6acd1bb294,0.05,"$13,707"
Cronos,tectonic,WBTC,35e04382-92cd-4088-a91f-c76bf1a27498,0.04984,"$6,386,217"
Polygon,curve-dex,AM3CRV-AMWBTC-AMWETH,31b07dfa-1fee-48c0-9e32-f7818dc8cc9d,0.0471,"$77,856"
Arbitrum,aave-v3,WBTC,7c5e69a4-2430-4fa2-b7cb-857f79d7d1bf,0.0441,"$52,893,474"
Polygon,tetu-earn,WBTC,2f0c3d1c-8274-42e9-a022-3a83fdaf519c,0.03799,"$130,615"
Fantom,reaper-farm,WBTC,566998a3-9d35-4e9f-997b-ade2ccfeeb46,0.03129,"$20,801"
Polygon,autofarm,WETH-WBTC,a62ceb52-abaf-491c-a710-c6dc06a04282,0.03027,"$43,498"
Arbitrum,arbitrum-exchange-v3,WBTC-WETH,09a2dc3a-69b2-403e-a476-9ed0dfe8d164,0.02939,"$99,833"
Polygon,arrakis-v1,WBTC-WETH,239ef911-13b5-4b5e-b0fe-fca6dc5b815e,0.02537,"$154,962"
Avalanche,trader-joe-lend,WBTC.E,0aa51e05-821d-419b-be52-63f852c6032e,0.02527,"$904,400"
Avalanche,benqi-lending,WBTC.E,b22a1540-fcdd-424a-95b0-dde0658a298b,0.02363,"$3,934,304"
Ethereum,vesper,WBTC,cb6084f9-b6f1-496e-93f8-5580cad3669f,0.02,"$481,506"
Arbitrum,arbitrum-exchange-v3,WBTC-USDC,7b8459ca-1538-4a5c-b73f-903f7764327f,0.01929,"$152,107"
Ethereum,bancor-v3,WBTC,a4bbf4e6-9b70-4774-817b-410f3f7c0b9b,0.01889,"$6,765,941"
Polygon,aave-v2,WBTC,592a7b4c-d2b2-425f-be53-c7daba371d21,0.01843,"$42,078,875"
Ethereum,compound,WBTC,1d876729-4445-4623-8b6b-c5290db5d100,0.01801,"$397,491,476"
Ethereum,morpho-compound,WBTC,090af9ac-a03f-402a-8d4c-3d08ff0cdfd9,0.01801,"$3,198,429"
Ethereum,balancer-v2,WBTC-WETH,39980ed4-31dd-4216-a7c7-1b878f367807,0.01714,"$2,535,826"
Avalanche,aave-v2,WBTC.E,3fa61e0a-644d-4276-b7c1-15c2097d6dac,0.01572,"$13,236,176"
Polygon,balancer-v2,WBTC-WETH,325f461d-e1ba-4369-a490-e57d1a48396e,0.01375,"$178,914"
Polygon,uniswap-v3,WBTC-WETH,b0f66876-0263-4dbf-8b86-75619fc3d55d,0.01173,"$10,278"
Arbitrum,balancer-v2,WBTC-WSTETH,e7a1b0f5-1e80-4727-aba4-1de8dbbe5832,0.00951,"$105,114"
Polygon,sushiswap,FIT-WBTC,351f2e8d-9f93-4900-8f19-f4b62222ebb2,0.00844,"$388,996"
Polygon,aave-v3,WBTC,58d18059-f1d1-45ed-acd3-f386e98cc506,0.00716,"$37,898,818"
Ethereum,verse,WBTC-USDC,79d79677-037c-4712-ac90-42a7c8047e8e,0.00614,"$361,325"
Avalanche,aave-v3,WBTC.E,2f679893-2049-4972-890f-c17fc6e57c7e,0.00407,"$28,029,021"
Optimism,granary-finance,WBTC,dae4fe36-64aa-4693-b225-74455924eb1e,0.00339,"$2,348,751"
Ethereum,silo-finance,WBTC,48c0dbc6-c8af-405e-a3e3-21c49d2437fa,0.0003,"$26,188"
Optimism,curve-dex,SBTC-WBTC,2a919332-4352-495c-a449-e2fc4459a052,0.00026,"$1,283,196"
Carbon,nitron,WBTC,3a6bec52-ea32-40f8-8d4c-6345f7e96ac6,8e-05,"$371,648"
Ethereum,compound-v3,WBTC,c1ca08e4-d618-415e-ad63-fcec58705469,0,"$265,023,327"
Ethereum,makerdao,WBTC,bd335b46-3daf-4507-adb2-6fd4337ea33b,0,"$127,949,075"
Ethereum,makerdao,WBTC,4dab1166-614a-429a-831f-4af70fd29c7d,0,"$110,594,495"
Ethereum,makerdao,WBTC,0b65cb9f-2c63-40d5-9344-2a867fbfc41a,0,"$33,470,046"
Kava,kava-mint,WBTC,9f035eb1-ec9d-4324-8a9a-333ef47eeeee,0,"$19,082,700"
Polygon,compound-v3,WBTC,a09b9aac-a117-4984-b9e5-62a6f2ff41a1,0,"$17,655,541"
Kava,kava-mint,WBTC,fbd72af4-6f1c-4e6c-99f5-ae4e8d6d6570,0,"$10,009,303"
Ethereum,uniswap-v3,WBTC-FUN,64ed4b48-f973-441c-9750-91eaa567a6a9,0,"$3,361,801"
Ethereum,uniswap-v3,WBTC-LQTY,83fa5c94-0944-413f-a859-65404333ef2a,0,"$3,022,016"
Ethereum,qidao,WBTC,0379058c-b61b-4fff-b829-219506227142,0,"$2,018,736"
Ethereum,uniswap-v3,WBTC-BTCM,b5116573-0ff8-4f1a-829f-718f91e6beba,0,"$1,541,502"
Ethereum,uniswap-v3,ICHI-WBTC,984060e3-12c9-4b9d-ad48-2148d2c084a6,0,"$1,496,955"
Ethereum,badger-dao,WBTC,995fa056-ce31-4d3f-8514-b7017f14f1ed,0,"$1,467,562"
Ethereum,uniswap-v3,WBTC-XSGD,6ba41219-da6b-48ba-a3e8-b16c8ae91a6b,0,"$973,147"
Arbitrum,beefy,WBTC-ETH-USDCE,eb09b9b2-d8d8-413f-9cfa-d9bf38bd5ab5,0,"$702,939"
Arbitrum,compound-v3,WBTC,a29ce33e-5994-486e-b76e-4a52692d2571,0,"$678,087"
Ethereum,uniswap-v3,WBTC-XIDR,51ce8582-247a-4332-8f77-c10d319b3c66,0,"$567,443"
Optimism,dforce,WBTC,53cd39ef-f5d0-43b0-8453-7003ac6a6f59,0,"$507,191"
Ethereum,uniswap-v3,WBTC-INDEXBTC,846d6a4b-9057-447e-90ef-2d03ac03575c,0,"$501,588"
Ethereum,integral,WBTC-WETH,bfc28ca7-203b-47d4-bca4-3a29855ea342,0,"$415,980"
Arbitrum,uniswap-v3,WBTC-ARB,b318f61c-b1b1-4bed-9fcd-421c50dcd1c3,0,"$397,201"
Arbitrum,uniswap-v3,BTC.B-WBTC,febe7e02-249f-4dc5-b6f8-3f8a84038686,0,"$396,286"
Arbitrum,uniswap-v3,FUC-WBTC,ff39d871-2d69-4be1-be55-788c771df343,0,"$392,728"
Ethereum,bunni,WBTC-BADGER,86876248-f7ff-4442-865b-d9fdc5035e79,0,"$375,664"
Gnosis,balancer-v2,CAGWBTC-WBTC-BB-AG-WBTC,13b37f6c-f780-4e72-b1ec-7e0fbf4cdd6f,0,"$369,483"
Ethereum,uniswap-v3,WBTC-USDC,1529a452-3563-44fa-95f2-08a01baa55ee,0,"$362,174"
Ethereum,uniswap-v2,WBTC-KLONX,0cd6a338-53b4-4ae5-a17c-336365472e0a,0,"$359,108"
Ethereum,dforce,WBTC,6e746861-6cbf-4c08-8905-038b890f2f4f,0,"$355,283"
Ethereum,uniswap-v3,ICHI-WBTC,11ead487-c1bb-4c4c-acdf-03b232375f6c,0,"$291,453"
Ethereum,badger-dao,BADGER-WBTC,88bb4790-b335-42d9-b26c-8d944e421780,0,"$278,241"
Arbitrum,uniswap-v3,WBTC-WETH,2f9ddcb6-1d5c-42f1-afb1-5df054c419f3,0,"$245,111"
Ethereum,sushiswap,BTC2X-FLI-WBTC,2a77baaa-0385-4fd5-84c8-b2339c600d98,0,"$239,099"
Ethereum,sushiswap,WBTC-ROBO,b7a4b19b-50b2-4d98-9a96-901a7af14823,0,"$223,217"
Ethereum,uniswap-v2,WBTC-SAITABIT,e7666270-dd88-42a6-af78-83aec6343e04,0,"$194,705"
Polygon,uniswap-v3,WBTC-USDT,5bcf8b78-052c-4fa2-91cb-3d92542e8d14,0,"$182,009"
Arbitrum,uniswap-v3,WBTC-ARB,743bc349-f8b2-46e1-9f04-a9a19c18cf7c,0,"$180,412"
Ethereum,sushiswap,WBTC-ONEBTC,cc148927-5f55-4af2-9f6b-a96a0a919f0c,0,"$179,126"
Ethereum,integral,WBTC-WETH,7577868b-b861-49e9-821a-db51afd22106,0,"$164,999"
Polygon,balancer-v2,WBTC-USDC-PAXG-WETH,aee73464-6081-4dcd-94c8-4f715878320b,0,"$160,504"
Ethereum,uniswap-v3,WBTC-PDT,973be240-63e2-4893-a78c-a59efc1001d5,0,"$159,207"
Ethereum,sushiswap,WBTC-DIGG,7441c940-16f8-4713-87dd-2b20a65715b1,0,"$155,409"
Ethereum,uniswap-v3,WBTC-WETH,d12f85a6-6684-4b8e-82bd-f47d3a052ace,0,"$152,969"
Ethereum,exactly,WBTC,f15783c6-6364-4656-b858-ba07c3f04f65,0,"$151,606"
Ethereum,exactly,WBTC,13bce7e2-a73c-4d3b-9b63-9288c2948716,0,"$151,606"
Ethereum,exactly,WBTC,8703d5a7-4833-4f06-a06c-e29977cf5724,0,"$151,606"
Polygon,beefy,WBTC-MATIC,4ebb26c1-b36b-492a-af38-566a8ddaa137,0,"$143,731"
Polygon,uniswap-v3,WBTC-BTCPX,422d4caa-31a6-4581-958a-3cff111d81a9,0,"$126,040"
Ethereum,sushiswap,WBTC-IBBTC,7c31336e-813a-4666-a51d-578992588cbc,0,"$119,524"
Polygon,beefy,WBTC-USDC-ETH,9ead24f4-0bb0-458e-8dae-fa7f56a58101,0,"$99,531"
Fantom,beefy,FUSDT-WBTC-ETH,5cf1c33c-678a-4b89-bdb2-333cf7edd14e,0,"$96,621"
Ethereum,loopring,WBTC-ETH,2201b317-f5bc-4ffd-8366-e17f240a3ef1,0,"$84,697"
Polygon,uniswap-v3,WBTC-NEUY,cbe8614c-8d13-4364-a0a2-97a4c0ff4ec9,0,"$83,880"
Ethereum,loopring,WBTC-USDC,b0321796-74eb-425e-a37e-ec9d5096c584,0,"$61,993"
Arbitrum,uniswap-v3,WBTC-USDC,7127db96-afba-4089-8c9d-daa93c116856,0,"$61,229"
Ethereum,uniswap-v3,WBTC-TONCOIN,875cad51-0932-4154-9217-b50a9e4939d4,0,"$60,453"
Ethereum,angle,WBTC,9cf04279-3f63-478b-9ad4-4c732f58a599,0,"$58,776"
Polygon,sushiswap,WBTC-IBBTC,bca3232b-cf75-4f61-8871-1acea0d74b0c,0,"$58,090"
Fantom,beefy,WBTC-FTM,084ebe92-a05e-4b04-93a0-99279f46a324,0,"$57,037"
Ethereum,uniswap-v3,WBTC-ICHI,0bdff086-1a80-48f4-8d5a-9f88cbca7737,0,"$55,481"
Arbitrum,uniswap-v3,WBTC-USDC,71e38ce6-656a-412c-b5b2-7443d37a082e,0,"$55,312"
Arbitrum,beefy,WBTC-ETH,18392197-9828-4b18-9a0a-f277fbbda942,0,"$51,567"
Ethereum,sushiswap,WBTC-SIL,d2a44f3c-99e5-4bd9-bfa9-73215d9a50ca,0,"$47,946"
Polygon,beefy,WBTC-ETH,c8fffc0e-f4db-4878-863b-0b7627d72b96,0,"$47,055"
Polygon,uniswap-v3,WBTC-XWBTC,49b639a6-4c03-4045-b622-1f027a064dd2,0,"$42,835"
Polygon,sushiswap,TURIN-WBTC,71f0e78d-0c7e-470e-9eb4-e8f16cc2cc2f,0,"$36,932"
Fantom,beefy,WBTC,9d989f1d-184f-4a2e-86f5-e8319fb9b4b4,0,"$36,668"
Ethereum,loopring,WBTC-USDT,33f426ac-b07c-4832-b638-85b1446b67aa,0,"$36,661"
Polygon,uniswap-v3,WBTC-AMKT,909d4b76-6b31-4ec5-a8b2-3126bd02de37,0,"$36,457"
Polygon,uniswap-v3,WBTC-INDEXBTC,41bef587-1c25-4940-9c15-65854db59ddc,0,"$36,017"
Ethereum,uniswap-v3,WBTC-XYO,28c5f4b3-eb1b-47be-ae2e-dd5fd8013126,0,"$35,330"
Ethereum,uniswap-v3,WBTC-NII,0bf5510b-1112-4596-b6c4-856cda9c7e5f,0,"$34,110"
Klaytn,kokoa-finance,OWBTC,82ca08b7-34ed-4c39-9e3e-0ce9f603cb72,0,"$32,413"
Polygon,angle,WBTC,360d9ce5-b336-4546-ac2e-5216abdfe31f,0,"$31,121"
Fantom,beefy,USDC-FTM-WBTC-ETH,86947d01-7726-4113-b224-614b6f039df7,0,"$29,930"
Polygon,uniswap-v3,WBTC-WETH,2f47622e-10d4-4d95-9389-073f1f7f5507,0,"$27,492"
Polygon,uniswap-v3,ICHI-WBTC,29fb40cc-b52c-4cb6-a9a5-5929888710a8,0,"$22,779"
Polygon,uniswap-v3,WBTC-USDT,766c775c-2943-48ab-ab2e-ec569c1d14df,0,"$20,961"
Polygon,beefy,IBBTC-WBTC,345cbe1d-413a-4611-89b3-9df407872045,0,"$20,755"
Polygon,quickswap-dex,WBTC-EGG,2373dfa8-2e71-4ac0-b965-ab0523fc2757,0,"$20,033"
Polygon,uniswap-v3,ICHI-WBTC,36849b76-9bf7-455e-8128-1c212fe965a5,0,"$19,792"
Gnosis,swapr,WETH-WBTC,4de732d7-a16f-48d4-afaa-7ef6ea41f9ad,0,"$19,729"
Ethereum,sushiswap,WBTC-LFBTC,9c017c3a-f12e-4942-b28e-a75a6f15d1aa,0,"$19,368"
Ethereum,balancer-v2,DPI-WBTC-WETH,639da759-0a77-41b2-a9d2-5ec6531aebd9,0,"$17,331"
Polygon,dforce,WBTC,976f83d7-fbd2-4d63-a30c-0e9da5a35787,0,"$16,095"
Moonriver,autofarm,ETH-WBTC.ETH,b2d70181-5a53-4980-baf2-33df702e8a91,0,"$16,065"
Avalanche,beefy,WBTCE-AVAX,c910ac65-2bdc-4011-91a3-c7152156b3be,0,"$15,530"
Polygon,uniswap-v3,WBTC-LINK,a2747b26-fb1c-4395-b1cb-5e790f8ebce1,0,"$15,304"
Fantom,beefy,FTM-WBTC-ETH,7b9657f6-97ee-4a0f-a9aa-3ce860647075,0,"$12,460"
Arbitrum,uniswap-v3,WBTC-TBTC,f0e3e18f-fa0a-457e-b3d2-6ce74551c39e,0,"$11,058"
Moonbeam,beefy,WBTCWH-GLMR,136fd826-7737-409a-aa61-89756d31a337,0,"$10,743"
Fantom,beefy,WBTC-ETH,ef163b2c-7c2a-4925-aac1-d384ff5eb0a4,0,"$10,390"
Polygon,uniswap-v3,WBTC-NSFW,dce8eccf-0c13-4223-83ad-0a027a50ba26,0,"$10,080"
Arbitrum,swapr,WBTC-WETH,d280ab81-8b09-400b-917b-556dce7e4e92,0,"$10,016"
